Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
140.0000 -0.0407 -0.1115 0.3700 10.9165 13.6528
140.0000 -0.0407 -0.1115 0.6450 10.9054 15.0653
140.0000 -0.0407 -0.1115 0.9200 10.9168 15.9149
141.0000 -0.0366 -0.1115 0.3700 10.3669 13.9203
141.0000 -0.0366 -0.1115 0.6450 10.3559 15.3230
141.0000 -0.0366 -0.1115 0.9200 10.3664 16.1699
142.0000 -0.0326 -0.1115 0.3700 9.8180 14.1840
142.0000 -0.0326 -0.1115 0.6450 9.8070 15.5772
142.0000 -0.0326 -0.1115 0.9200 9.8168 16.4214
143.0000 -0.0285 -0.1115 0.3700 9.2695 14.4442
143.0000 -0.0285 -0.1115 0.6450 9.2587 15.8280
143.0000 -0.0285 -0.1115 0.9200 9.2679 16.6695
144.0000 -0.0244 -0.1115 0.3700 8.7216 14.7007
144.0000 -0.0244 -0.1115 0.6450 8.7110 16.0753
144.0000 -0.0244 -0.1115 0.9200 8.7196 16.9143
145.0000 -0.0204 -0.1115 0.3700 8.1741 14.9537
145.0000 -0.0204 -0.1115 0.6450 8.1639 16.3194
145.0000 -0.0204 -0.1115 0.9200 8.1718 17.1559
