Executing C:\Documents and Settings\Administrator\My Documents\ZEMAX\MACROS\sedm_simulate_ray.zpl.
61.0000 0.0855 -0.1593 0.9200 -4.1365 27.4213
62.0000 0.0895 -0.1593 0.3700 0.0000 0.0000
62.0000 0.0895 -0.1593 0.6450 0.0000 0.0000
62.0000 0.0895 -0.1593 0.9200 -1.4442 14.5810
63.0000 0.0936 -0.1593 0.3700 0.0000 0.0000
63.0000 0.0936 -0.1593 0.6450 0.0000 0.0000
63.0000 0.0936 -0.1593 0.9200 0.0000 0.0000
64.0000 0.0977 -0.1593 0.3700 0.0000 0.0000
64.0000 0.0977 -0.1593 0.6450 0.0000 0.0000
64.0000 0.0977 -0.1593 0.9200 0.0000 0.0000
65.0000 0.1018 -0.1593 0.3700 0.0000 0.0000
65.0000 0.1018 -0.1593 0.6450 0.0000 0.0000
65.0000 0.1018 -0.1593 0.9200 0.0000 0.0000
66.0000 0.1058 -0.1593 0.3700 0.0000 0.0000
66.0000 0.1058 -0.1593 0.6450 0.0000 0.0000
66.0000 0.1058 -0.1593 0.9200 0.0000 0.0000
67.0000 0.1099 -0.1593 0.3700 0.0000 0.0000
67.0000 0.1099 -0.1593 0.6450 0.0000 0.0000
67.0000 0.1099 -0.1593 0.9200 0.0000 0.0000
68.0000 0.1140 -0.1593 0.3700 0.0000 0.0000
68.0000 0.1140 -0.1593 0.6450 0.0000 0.0000
68.0000 0.1140 -0.1593 0.9200 0.0000 0.0000
69.0000 0.1180 -0.1593 0.3700 0.0000 0.0000
69.0000 0.1180 -0.1593 0.6450 0.0000 0.0000
69.0000 0.1180 -0.1593 0.9200 0.0000 0.0000
70.0000 0.1221 -0.1593 0.3700 0.0000 0.0000
70.0000 0.1221 -0.1593 0.6450 0.0000 0.0000
70.0000 0.1221 -0.1593 0.9200 0.0000 0.0000
71.0000 0.1262 -0.1593 0.3700 0.0000 0.0000
71.0000 0.1262 -0.1593 0.6450 0.0000 0.0000
71.0000 0.1262 -0.1593 0.9200 0.0000 0.0000
72.0000 0.1303 -0.1593 0.3700 0.0000 0.0000
72.0000 0.1303 -0.1593 0.6450 0.0000 0.0000
72.0000 0.1303 -0.1593 0.9200 0.0000 0.0000
73.0000 0.1343 -0.1593 0.3700 0.0000 0.0000
73.0000 0.1343 -0.1593 0.6450 0.0000 0.0000
73.0000 0.1343 -0.1593 0.9200 0.0000 0.0000
74.0000 0.1384 -0.1593 0.3700 0.0000 0.0000
74.0000 0.1384 -0.1593 0.6450 0.0000 0.0000
74.0000 0.1384 -0.1593 0.9200 0.0000 0.0000
